<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGHT.US,D,20240111,000000,10.2,10.2,10.08,10.16,43082,0
LGHT.US,D,20240112,000000,10.14,10.14,10.09,10.0979,8414,0
LGHT.US,D,20240116,000000,10.02,10.02,9.9332,9.9629,7220,0
LGHT.US,D,20240117,000000,9.9,9.9,9.845,9.8812,2240,0
LGHT.US,D,20240118,000000,10.04,10.07,10.02,10.0348,33684,0
LGHT.US,D,20240119,000000,10.0501,10.0501,10.0501,10.0501,54,0
LGHT.US,D,20240122,000000,10.1291,10.15,10.11,10.1249,8853,0
LGHT.US,D,20240123,000000,10.06,10.07,10.0414,10.0414,4570,0
LGHT.US,D,20240124,000000,10.0036,10.03,9.9578,9.9578,4111,0
LGHT.US,D,20240125,000000,10.07,10.07,10.0301,10.0301,522,0
LGHT.US,D,20240126,000000,10.03,10.04,10.0117,10.0117,718,0
LGHT.US,D,20240129,000000,10.021,10.14,10.021,10.1364,1187,0
LGHT.US,D,20240130,000000,10.05,10.05,10.025,10.025,1262,0
LGHT.US,D,20240131,000000,10.07,10.07,9.961,9.961,2084,0
LGHT.US,D,20240201,000000,10.1103,10.1103,10.1103,10.1103,41,0
LGHT.US,D,20240202,000000,10.062,10.062,10.0301,10.0301,166,0
LGHT.US,D,20240205,000000,9.97,9.9722,9.97,9.9722,168,0
LGHT.US,D,20240206,000000,10.22,10.23,10.2144,10.2144,3354,0
LGHT.US,D,20240207,000000,10.2369,10.2369,10.2369,10.2369,61,0
LGHT.US,D,20240208,000000,10.2034,10.2124,10.2034,10.2124,524,0
LGHT.US,D,20240209,000000,10.1999,10.1999,10.1558,10.1558,201,0
LGHT.US,D,20240212,000000,10.1899,10.2,10.15,10.1652,630,0
LGHT.US,D,20240213,000000,10,10,9.9785,9.9785,310,0
LGHT.US,D,20240214,000000,10.11,10.16,10.1099,10.1407,1005,0
LGHT.US,D,20240215,000000,10.29,10.29,10.25,10.25,763,0
LGHT.US,D,20240216,000000,10.2249,10.2249,10.2249,10.2249,180,0
LGHT.US,D,20240220,000000,10.25,10.25,10.19,10.19,1041,0
LGHT.US,D,20240221,000000,10.19,10.19,10.1379,10.1379,113,0
LGHT.US,D,20240222,000000,10.32,10.3714,10.29,10.3714,603,0
LGHT.US,D,20240223,000000,10.3509,10.3509,10.3509,10.3509,116,0
LGHT.US,D,20240226,000000,10.36,10.38,10.3497,10.3497,788,0
LGHT.US,D,20240227,000000,10.3799,10.3799,10.3687,10.3687,152,0
LGHT.US,D,20240228,000000,10.2571,10.2773,10.2571,10.2773,299,0
LGHT.US,D,20240229,000000,10.28,10.28,10.2475,10.2475,1251,0
LGHT.US,D,20240301,000000,10.4158,10.4158,10.4158,10.4158,63,0
LGHT.US,D,20240304,000000,10.47,10.47,10.465,10.465,1075,0
LGHT.US,D,20240305,000000,10.33,10.33,10.33,10.33,97,0
LGHT.US,D,20240306,000000,10.53,10.5699,10.53,10.5321,478,0
LGHT.US,D,20240307,000000,10.71,10.75,10.6981,10.6981,356,0
LGHT.US,D,20240308,000000,10.81,10.81,10.74,10.77,4381,0
LGHT.US,D,20240311,000000,10.6766,10.6766,10.6766,10.6766,66,0
LGHT.US,D,20240312,000000,10.751,10.751,10.751,10.751,95,0
LGHT.US,D,20240313,000000,10.65,10.65,10.604,10.604,221,0
LGHT.US,D,20240314,000000,10.5285,10.5285,10.5285,10.5285,80,0
LGHT.US,D,20240315,000000,10.5262,10.5262,10.5262,10.5262,322,0
LGHT.US,D,20240318,000000,10.62,10.62,10.5638,10.5638,463,0
LGHT.US,D,20240319,000000,10.61,10.61,10.56,10.56,1400,0
LGHT.US,D,20240320,000000,10.57,10.57,10.5566,10.5566,677,0
LGHT.US,D,20240321,000000,10.71,10.71,10.5606,10.567,477,0
LGHT.US,D,20240322,000000,10.5163,10.5163,10.5163,10.5163,5,0
LGHT.US,D,20240325,000000,10.5684,10.5684,10.5684,10.5684,33,0
LGHT.US,D,20240326,000000,10.5988,10.5988,10.5988,10.5988,21,0
LGHT.US,D,20240327,000000,10.7254,10.7254,10.7254,10.7254,154,0
LGHT.US,D,20240328,000000,10.7126,10.7126,10.7126,10.7126,113,0
LGHT.US,D,20240401,000000,10.61,10.63,10.5932,10.5932,1633,0
LGHT.US,D,20240402,000000,10.41,10.41,10.3981,10.3981,348,0
LGHT.US,D,20240403,000000,10.45,10.45,10.41,10.42,758,0
LGHT.US,D,20240404,000000,10.3131,10.3131,10.3131,10.3131,15,0
LGHT.US,D,20240405,000000,10.4401,10.4601,10.44,10.4471,2207,0
LGHT.US,D,20240408,000000,10.46,10.4648,10.46,10.4648,462,0
LGHT.US,D,20240409,000000,10.51,10.5734,10.51,10.5734,221,0
LGHT.US,D,20240410,000000,10.49,10.5,10.4594,10.4594,5327,0
LGHT.US,D,20240411,000000,10.4698,10.4698,10.4698,10.4698,10,0
LGHT.US,D,20240412,000000,10.3119,10.3119,10.2452,10.2452,160,0
LGHT.US,D,20240415,000000,10.1539,10.1539,10.1539,10.1539,53,0
LGHT.US,D,20240416,000000,10.1,10.1217,10.1,10.1217,386,0
LGHT.US,D,20240417,000000,10.0186,10.0186,10.0186,10.0186,28,0
LGHT.US,D,20240418,000000,10.01,10.05,9.9503,9.9503,1615,0
